project,root,path,relative_path,extension,sha256,line_count,categories,plot_score,duplicate_within_project,primary_candidate
project1_ct_cluster,/Users/qihaoning/00工作/202603CTcluster,/Users/qihaoning/00工作/202603CTcluster/00病理CT查片表/ct_clin_s6nat/20260507/病理_remote_search/build_pathology_match_summary.py,00病理CT查片表/ct_clin_s6nat/20260507/病理_remote_search/build_pathology_match_summary.py,.py,2e5e7b0c60b85d7ccff7d07fa8c1883073048eecd07819ef48f99e0167cb2949,141,medical_image_panel,25,False,False
project1_ct_cluster,/Users/qihaoning/00工作/202603CTcluster,/Users/qihaoning/00工作/202603CTcluster/00病理CT查片表/ct_clin_s6nat/20260507/病理_remote_search/build_pathology_match_summary_v2.py,00病理CT查片表/ct_clin_s6nat/20260507/病理_remote_search/build_pathology_match_summary_v2.py,.py,d87b7cd462aaf75ba4fcdd5c953aef96b0b08d6527943ed319883d1b7d940ed2,146,medical_image_panel,17,False,False
project1_ct_cluster,/Users/qihaoning/00工作/202603CTcluster,/Users/qihaoning/00工作/202603CTcluster/00病理CT查片表/ct_clin_s6nat/20260507/病理_remote_search/search_renamed_by_mapping.py,00病理CT查片表/ct_clin_s6nat/20260507/病理_remote_search/search_renamed_by_mapping.py,.py,04851fd1d2833663dec98dbd8abbcb4b578e76c3d949d510b84dc8f8b75bf8d1,6,medical_image_panel,1,False,False
project1_ct_cluster,/Users/qihaoning/00工作/202603CTcluster,/Users/qihaoning/00工作/202603CTcluster/00病理CT查片表/ct_clin_s6nat/20260507/病理_remote_search/search_slideinfo_remote.py,00病理CT查片表/ct_clin_s6nat/20260507/病理_remote_search/search_slideinfo_remote.py,.py,9224b44d8a253da2e352d634f19ac2a64485db5879d70df7633f040df5b51371,55,medical_image_panel,4,False,False
project1_ct_cluster,/Users/qihaoning/00工作/202603CTcluster,/Users/qihaoning/00工作/202603CTcluster/00病理CT查片表/ct_clin_s6nat/CT/convert_ctcluster_venous.py,00病理CT查片表/ct_clin_s6nat/CT/convert_ctcluster_venous.py,.py,c64fbc23a074223ec422f1a49a9a936bdae4167478d8caef52defa673be0cf8d,243,roc_auc;medical_image_panel,52,False,False
project1_ct_cluster,/Users/qihaoning/00工作/202603CTcluster,/Users/qihaoning/00工作/202603CTcluster/00病理CT查片表/ct_clin_s6nat/make_ct_tumor_slice_panels.py,00病理CT查片表/ct_clin_s6nat/make_ct_tumor_slice_panels.py,.py,c2835fecfc4bb092d809f93e608e2cd725b3dc489d4c13b08fbce37051d81b0b,453,medical_image_panel,129,False,False
project1_ct_cluster,/Users/qihaoning/00工作/202603CTcluster,/Users/qihaoning/00工作/202603CTcluster/03github代码/V1/clustering/cluster_metrics.py,03github代码/V1/clustering/cluster_metrics.py,.py,feeb915c8f77b63c43020d744392038dee7120a91aea8dc72eda68812afd11c7,32,medical_image_panel,2,False,False
project1_ct_cluster,/Users/qihaoning/00工作/202603CTcluster,/Users/qihaoning/00工作/202603CTcluster/03github代码/V1/clustering/consensus_clustering.py,03github代码/V1/clustering/consensus_clustering.py,.py,300a40bb9b9f9e05f4b0cde9d15a70fd95e01a4b7d40813e7cd2d8ccb3ef1a1b,125,medical_image_panel,21,False,False
project1_ct_cluster,/Users/qihaoning/00工作/202603CTcluster,/Users/qihaoning/00工作/202603CTcluster/03github代码/V1/clustering/feature_preprocess.py,03github代码/V1/clustering/feature_preprocess.py,.py,0843f6342f12af3511db490343fee198c8d4ebb1f4ce2ec881a1ca70148244c0,109,roc_auc;medical_image_panel,25,False,False
project1_ct_cluster,/Users/qihaoning/00工作/202603CTcluster,/Users/qihaoning/00工作/202603CTcluster/03github代码/V1/clustering/run_clustering.py,03github代码/V1/clustering/run_clustering.py,.py,d454512bc74e642b25f8d753be1426133fb62979b6ff45dd514eee3dd13663a8,56,roc_auc;medical_image_panel,7,False,False
project1_ct_cluster,/Users/qihaoning/00工作/202603CTcluster,/Users/qihaoning/00工作/202603CTcluster/03github代码/V1/crcfound_finetune/dataset.py,03github代码/V1/crcfound_finetune/dataset.py,.py,5337c416b6751dca8a43e5a6578a672c536705c5e1c940b1526e1ad74b001af9,51,roc_auc;medical_image_panel,7,False,False
project1_ct_cluster,/Users/qihaoning/00工作/202603CTcluster,/Users/qihaoning/00工作/202603CTcluster/03github代码/V1/crcfound_finetune/extract_features.py,03github代码/V1/crcfound_finetune/extract_features.py,.py,3f6f7ef5240e2d437c79553e587b8d106166cede8c82801c5fe885bd76d6d381,66,medical_image_panel,17,False,False
project1_ct_cluster,/Users/qihaoning/00工作/202603CTcluster,/Users/qihaoning/00工作/202603CTcluster/03github代码/V1/crcfound_finetune/model_adapter.py,03github代码/V1/crcfound_finetune/model_adapter.py,.py,57774c30105e9e96cc10083e6af2bed753452773d04634e428f89138adc7276c,85,medical_image_panel,12,False,False
project1_ct_cluster,/Users/qihaoning/00工作/202603CTcluster,/Users/qihaoning/00工作/202603CTcluster/03github代码/V1/crcfound_finetune/train.py,03github代码/V1/crcfound_finetune/train.py,.py,6ac38182225b699d28999daf1efcdc26c94630fe6836b3aa4d5e2f641b4529b6,73,medical_image_panel,12,False,False
project1_ct_cluster,/Users/qihaoning/00工作/202603CTcluster,/Users/qihaoning/00工作/202603CTcluster/03github代码/V1/examples/run_demo_pipeline.py,03github代码/V1/examples/run_demo_pipeline.py,.py,9b31118480a1b94ba93c86535d280661e72daa2eac566f28922ff48f97db6254,61,survival_km;roc_auc;forest_cox;medical_image_panel,13,False,False
project1_ct_cluster,/Users/qihaoning/00工作/202603CTcluster,/Users/qihaoning/00工作/202603CTcluster/03github代码/V1/examples/synthetic_demo_data.py,03github代码/V1/examples/synthetic_demo_data.py,.py,6d69f21bf27c5233ebaef6c9f8ceddbdbb8dad7e596a30f94e4ed1a9686c1eb0,52,forest_cox;medical_image_panel,5,False,False
project1_ct_cluster,/Users/qihaoning/00工作/202603CTcluster,/Users/qihaoning/00工作/202603CTcluster/03github代码/V1/pyradiomics_extraction/extract_radiomics.py,03github代码/V1/pyradiomics_extraction/extract_radiomics.py,.py,cb0848ddbb46c8ca0f01506aef0c2de016460d4c6a50762a511778a279217403,71,medical_image_panel,20,False,False
project1_ct_cluster,/Users/qihaoning/00工作/202603CTcluster,/Users/qihaoning/00工作/202603CTcluster/03github代码/V1/subtype_modeling/feature_processor.py,03github代码/V1/subtype_modeling/feature_processor.py,.py,68e0988d63cee3ad52edb60a998b90b1e43a0f210e752301389c20c23da0a23b,63,roc_auc,9,False,False
project1_ct_cluster,/Users/qihaoning/00工作/202603CTcluster,/Users/qihaoning/00工作/202603CTcluster/03github代码/V1/subtype_modeling/predict_subtype.py,03github代码/V1/subtype_modeling/predict_subtype.py,.py,3103fea435cc8dbea032a3d3a8d7985519693a4d2f08bfc7f0f39f2b7848001b,64,roc_auc;medical_image_panel,18,False,False
project1_ct_cluster,/Users/qihaoning/00工作/202603CTcluster,/Users/qihaoning/00工作/202603CTcluster/03github代码/V1/subtype_modeling/train_subtype_classifier.py,03github代码/V1/subtype_modeling/train_subtype_classifier.py,.py,da0c6fe49f70b4f1a3fcab97a2f3409037b0337004b772bbec7be3679002c3d0,87,roc_auc;medical_image_panel,11,False,False
